,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
7036,6,12,1,38,7,3,4,35,23.24,17.73,7307.63,0.14,81,0.06,405.98,412.08,28,53,15,19,82,N
7037,4,7,3,0,6,2,1,41,45.8,12.67,7347.81,0.19,109,0.08,408.21,580.09,38,71,24,16,50,Y
7038,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,N
7039,2,5,0,0,3,3,1,18,37.77,17.05,10982.67,0.21,130,0.06,610.15,644.05,54,76,19,12,22,N
7040,4,35,0,1,18,9,14,60,52.71,33.59,59485.13,0.59,301,0.03,3304.73,1770.68,113,188,37,22,67,N
7041,1,3,0,1,2,2,1,11,27.92,9.43,2481.83,0.09,56,0.11,137.88,263.22,22,34,14,12,15,N
7042,1,13,0,0,7,6,5,26,36.27,16.84,10285.77,0.2,114,0.06,571.43,610.76,39,75,22,19,29,Y
7043,4,5,0,2,3,2,1,15,20.45,11.56,2731.15,0.08,53,0.09,151.73,236.35,16,37,9,13,23,N
7044,0,3,0,0,2,2,1,5,11.52,3.75,161.94,0.01,13,0.27,9,43.19,5,8,4,6,7,N
7045,14,5,0,5,3,3,1,31,49.1,16.69,13680.63,0.27,154,0.06,760.04,819.58,62,92,26,14,52,N
7046,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,2,N
7047,3,7,4,8,6,6,1,45,72.26,10.83,8480.28,0.26,138,0.09,471.13,782.79,52,86,36,15,62,Y
7048,8,19,2,4,10,10,8,46,37.63,25.52,24499.5,0.32,171,0.04,1361.08,960.12,74,97,29,20,62,N
7049,8,38,0,18,21,20,1,115,51.67,43.42,97414.98,0.75,383,0.02,5411.94,2243.61,153,230,37,21,145,N
7050,5,7,0,1,4,4,1,43,54.31,21.95,26167.57,0.4,201,0.05,1453.75,1192.08,90,111,41,20,49,Y
7051,0,15,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,N
7052,5,19,1,14,10,7,1,49,23.9,27.2,17680,0.22,130,0.04,982.22,650,48,82,15,17,71,N
7053,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,N
7054,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,N
7055,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,N
7056,0,1,0,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,6,N
7057,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,N
7058,4,7,2,8,4,2,3,30,26.77,14.57,5684.85,0.13,83,0.07,315.82,390.14,34,49,14,12,47,N
7059,2,7,2,1,4,2,3,27,16.12,20.43,6729.66,0.11,79,0.05,373.87,329.42,26,53,7,11,34,N
7060,0,1,0,0,1,1,1,3,21.59,2,86.37,0.01,13,0.5,4.8,43.19,6,7,6,4,7,N
7061,0,1,0,0,1,1,1,6,7.33,9,594,0.02,22,0.11,33,66,6,16,2,6,9,N
7062,0,21,0,0,11,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,85,N
7063,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,N
7064,1,1,0,0,1,1,1,5,19.31,5.71,630.64,0.04,27,0.18,35.04,110.36,8,19,7,10,6,N
7065,0,9,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,N
7066,0,5,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,N
7067,3,3,0,0,2,1,1,4,12.34,5.83,420,0.02,18,0.17,23.33,72,7,11,6,10,9,N
7068,5,15,3,9,8,7,6,46,54.87,30,49382.78,0.55,281,0.03,2743.49,1646.09,114,167,38,20,65,N
7069,1,3,0,1,2,2,1,10,23.5,4,376.05,0.03,23,0.25,20.89,94.01,9,14,9,8,14,N
7070,9,47,0,2,29,20,1,213,69.78,102.24,729371.6,2.38,1050,0.01,40520.64,7134.14,444,606,76,35,226,N
7071,5,7,0,1,4,4,1,49,51.68,23.03,27413.4,0.4,212,0.04,1522.97,1190.32,95,117,33,16,57,N
7072,5,7,0,1,4,4,1,53,55.38,23.78,31310.62,0.44,231,0.04,1739.48,1316.8,107,124,36,16,61,N
7073,5,10,1,0,7,6,5,79,76.68,38.91,116083.73,0.99,468,0.03,6449.1,2983.52,203,265,60,23,87,N
7074,6,11,0,5,6,3,1,17,30.07,13.38,5384.59,0.13,82,0.07,299.14,402.37,35,47,17,13,30,N
7075,1,5,0,0,3,3,1,11,25.1,10.23,2626.89,0.09,54,0.1,145.94,256.76,19,35,13,14,14,N
7076,6,17,0,5,9,4,5,20,32.83,16.58,9024.89,0.18,107,0.06,501.38,544.36,42,65,19,15,33,N
7077,3,3,0,0,2,2,1,7,8.31,11,1005.14,0.03,24,0.09,55.84,91.38,6,18,3,11,12,N
7078,0,1,0,0,1,1,1,5,44.77,2.18,213.1,0.03,25,0.46,11.84,97.67,12,13,11,4,7,N
7079,0,1,0,0,1,1,1,3,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,4,5,4,3,5,N
7080,3,1,0,1,1,1,1,6,28.47,3.61,371.22,0.03,27,0.28,20.62,102.8,13,14,9,5,12,N
7081,0,1,0,0,1,1,1,3,6.46,4,103.4,0.01,10,0.25,5.74,25.85,4,6,2,4,5,N
7082,0,1,0,0,1,1,1,3,8.45,6,304.31,0.02,16,0.17,16.91,50.72,6,10,3,6,5,N
7083,10,11,0,17,6,6,5,40,40.7,18.18,13453.78,0.25,141,0.06,747.43,739.96,50,91,22,16,69,N
7084,5,3,0,2,2,2,1,19,48.77,11.08,5990.95,0.18,103,0.09,332.83,540.54,38,65,24,14,28,N
7085,3,5,0,0,3,3,1,13,43.65,14.32,8948.86,0.21,125,0.07,497.16,625,63,62,22,10,19,N
7086,1,1,0,0,1,1,1,4,25.14,6.8,1162.58,0.06,41,0.15,64.59,170.97,17,24,10,8,7,N
7087,18,25,6,26,13,11,4,91,56.47,61.01,210218.88,1.15,568,0.02,11678.83,3445.54,205,363,42,25,144,N
7088,1,3,0,0,2,2,1,6,22.56,3.38,257,0.03,20,0.3,14.28,76.15,9,11,8,6,9,N
7089,0,1,0,0,1,1,1,2,11.41,2.5,71.32,0.01,9,0.4,3.96,28.53,4,5,4,5,4,N
7090,2,1,0,0,1,1,1,2,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,7,N
7091,0,1,0,4,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,7,N
7092,5,3,0,0,2,2,1,20,27.45,15.3,6426,0.14,84,0.07,357,420,27,57,15,17,27,N
7093,44,21,1,4,11,11,1,87,57.6,49.93,143593.2,0.96,483,0.02,7977.4,2875.88,226,257,43,19,145,N
7094,0,1,0,0,1,1,1,2,11.41,2.5,71.32,0.01,9,0.4,3.96,28.53,4,5,4,5,4,N
7095,2,11,0,0,6,5,3,30,38.16,9.17,3206.27,0.12,72,0.11,178.13,349.77,30,42,18,11,34,N
7096,0,1,0,0,1,1,1,6,37,2,148.02,0.02,20,0.5,8.22,74.01,9,11,9,4,8,N
7097,1,5,0,0,3,3,1,16,29.25,6.25,1142.73,0.06,41,0.16,63.48,182.84,15,26,12,10,19,N
7098,1,5,0,0,3,3,1,15,29.97,6.25,1170.6,0.06,42,0.16,65.03,187.3,15,27,12,10,18,N
7099,0,1,0,0,1,1,1,6,39.98,2,159.91,0.03,21,0.5,8.88,79.95,10,11,10,4,8,N
7100,1,5,0,0,3,3,1,15,29.97,6.25,1170.6,0.06,42,0.16,65.03,187.3,15,27,12,10,18,N
7101,1,5,0,0,3,3,1,15,29.97,6.25,1170.6,0.06,42,0.16,65.03,187.3,15,27,12,10,18,N
7102,2,11,0,0,6,5,3,30,38.69,9.17,3250.8,0.12,73,0.11,180.6,354.63,30,43,18,11,34,N
7103,0,1,0,0,1,1,1,6,37,2,148.02,0.02,20,0.5,8.22,74.01,9,11,9,4,8,N
7104,1,5,0,0,3,3,1,15,29.25,6.25,1142.73,0.06,41,0.16,63.48,182.84,15,26,12,10,18,N
7105,1,3,0,0,2,2,1,11,30.18,4.36,574.63,0.04,31,0.23,31.92,131.69,12,19,11,8,14,N
7106,1,5,0,0,3,3,1,16,31.13,6.54,1330.97,0.07,45,0.15,73.94,203.56,17,28,13,10,19,N
7107,1,7,0,0,4,4,1,20,34.22,7.46,1906.47,0.09,55,0.13,105.91,255.41,19,36,14,11,23,N
7108,0,1,0,0,1,1,1,6,37,2,148.02,0.02,20,0.5,8.22,74.01,9,11,9,4,8,N
7109,7,11,0,0,6,6,1,38,36.98,18.16,12193.85,0.22,132,0.06,677.44,671.55,46,86,19,15,47,N
7110,1,5,0,0,3,2,1,8,15.42,7.71,917.55,0.04,28,0.13,50.98,118.94,9,19,7,12,11,N
7111,0,1,0,0,1,1,1,5,30.47,2,121.89,0.02,17,0.5,6.77,60.94,8,9,8,4,7,N
7112,6,3,0,0,2,2,1,15,35.66,10.42,3872.1,0.12,75,0.1,215.12,371.56,33,42,19,12,23,N
7113,5,5,0,0,4,4,1,33,40.53,19.25,15018.77,0.26,159,0.05,834.38,780.2,77,82,20,10,40,N
7114,1,7,0,0,4,3,3,21,29.38,17,8489.72,0.17,99,0.06,471.65,499.4,32,67,16,17,24,N
7115,0,1,0,0,1,1,1,2,11.41,2.5,71.32,0.01,9,0.4,3.96,28.53,4,5,4,5,4,N
7116,8,9,0,1,5,3,1,41,35.25,19.5,13402.82,0.23,134,0.05,744.6,687.32,52,82,20,15,52,N
7117,7,7,0,0,4,3,1,27,32.54,15.68,7999.96,0.17,104,0.06,444.44,510.32,41,63,17,13,36,N
7118,3,17,1,8,9,2,9,29,21.92,30,19725.7,0.22,134,0.03,1095.87,657.52,60,74,15,15,43,N
7119,0,1,0,0,1,1,1,3,28.71,4.67,625.24,0.04,31,0.21,34.74,133.98,14,17,12,8,5,N
7120,3,21,0,0,11,6,6,25,32.81,24,18900.6,0.26,149,0.04,1050.03,787.52,69,80,23,16,30,N
7121,3,9,0,3,5,4,4,10,19.82,16.36,5307.22,0.11,69,0.06,294.85,324.33,24,45,11,15,18,N
7122,1,7,0,0,4,4,1,13,18.13,19.73,7054.02,0.12,77,0.05,391.89,357.58,31,46,11,14,16,N
7123,1,3,0,0,2,2,1,8,16.73,4.5,338.78,0.03,21,0.22,18.82,75.28,9,12,6,6,11,N
7124,1,11,0,0,6,5,6,15,16.2,27.77,12496.15,0.15,90,0.04,694.23,450,38,52,13,19,18,N
7125,2,11,0,1,6,5,3,21,14.63,31.17,14210.21,0.15,97,0.03,789.46,455.94,33,64,9,17,26,N
7126,2,11,1,0,6,3,5,13,33.56,33.15,36868.91,0.37,209,0.03,2048.27,1112.28,49,160,17,23,18,N
7127,5,13,0,0,7,6,1,21,27.25,25.97,18384.21,0.24,138,0.04,1021.34,707.84,55,83,18,17,28,N
7128,2,11,1,0,6,3,5,10,32.09,31.63,32092.96,0.34,192,0.03,1782.94,1014.8,44,148,16,23,15,N
7129,3,5,0,0,3,2,1,10,15.98,13.36,2854.71,0.07,46,0.07,158.59,213.62,21,25,11,14,15,N
7130,1,11,0,0,6,1,6,23,11.3,43,20888.63,0.16,99,0.02,1160.48,485.78,43,56,10,20,26,N
7131,3,19,0,0,10,6,7,18,25.7,25.95,17304.83,0.22,129,0.04,961.38,666.92,58,71,19,17,23,N
7132,6,21,0,2,11,7,1,30,20.77,39.38,32204.19,0.27,157,0.03,1789.12,817.88,60,97,16,21,40,N
7133,2,11,1,0,6,3,5,10,31.87,32.34,33335.19,0.34,195,0.03,1851.96,1030.65,45,150,16,23,15,N
7134,3,21,0,0,11,6,6,25,32.81,24,18900.6,0.26,149,0.04,1050.03,787.52,69,80,23,16,30,N
7135,2,5,0,0,3,2,1,10,24.61,10.27,2593.51,0.08,52,0.1,144.08,252.62,22,30,15,14,14,N
7136,3,7,2,0,4,2,1,11,18.89,13.59,3489.57,0.09,56,0.07,193.87,256.76,23,33,11,13,18,N
7137,4,33,1,0,17,8,12,58,24.36,60.64,89578.61,0.49,269,0.02,4976.59,1477.31,116,153,22,23,65,N
7138,3,19,1,2,10,7,5,27,24.79,29.84,22075.47,0.25,142,0.03,1226.41,739.74,63,79,19,18,35,N
7139,6,15,0,18,8,5,1,59,35.51,25.52,23135.93,0.3,174,0.04,1285.33,906.44,67,107,21,16,86,N
7140,18,17,0,26,9,4,1,62,35,25.5,22758.63,0.3,174,0.04,1264.37,892.5,68,106,20,15,108,N
7141,6,7,0,9,4,3,1,25,28.47,13,4812.16,0.12,77,0.08,267.34,370.17,30,47,15,13,42,N
7142,5,13,0,14,7,4,1,39,19.65,29.36,16939.37,0.19,120,0.03,941.08,576.88,38,82,11,17,60,N
7143,1,11,3,0,6,3,1,21,13.2,30,11884.29,0.13,95,0.03,660.24,396.14,30,65,6,12,27,N
7144,1,9,0,0,5,2,4,12,9.23,14.3,1887.6,0.04,33,0.07,104.87,132,13,20,5,11,15,N
7145,1,1,0,1,1,1,1,10,23.71,11.5,3135.19,0.09,58,0.09,174.18,272.63,23,35,13,13,12,N
7146,33,71,0,37,37,11,11,211,32.84,111.62,409132.47,1.22,634,0.01,22729.58,3665.38,249,385,29,26,283,N
7147,3,3,0,0,2,2,1,10,24.86,4.67,541.33,0.04,29,0.21,30.07,116,12,17,9,7,15,N
7148,0,1,0,0,1,1,1,6,26.63,2.5,166.42,0.02,21,0.4,9.25,66.57,10,11,6,3,8,N
7149,31,59,0,40,31,11,11,186,35.69,79.93,227989.05,0.95,498,0.01,12666.06,2852.5,166,332,27,26,259,N
7150,33,71,0,40,37,11,11,217,34.07,107.9,396646.41,1.23,633,0.01,22035.91,3676.06,249,384,30,26,292,N
7151,9,17,0,14,9,5,4,40,28.11,18.67,9793.69,0.17,108,0.05,544.09,524.66,40,68,15,14,65,N
7152,10,17,0,14,9,5,4,41,28.11,18.67,9793.69,0.17,108,0.05,544.09,524.66,40,68,15,14,67,N
7153,34,71,0,37,37,12,11,211,35.52,109.87,428738.87,1.3,669,0.01,23818.83,3902.2,262,407,31,26,284,N
7154,0,1,0,0,1,1,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,4,N
7155,3,7,0,0,5,3,1,17,21.14,15.23,4904.65,0.11,65,0.07,272.48,322.02,22,43,13,18,22,N
7156,0,1,0,0,1,1,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,4,N
7157,9,17,0,15,9,5,4,41,28.11,18.67,9793.69,0.17,108,0.05,544.09,524.66,40,68,15,14,67,N
7158,14,17,0,15,9,5,4,44,29.91,18.38,10098.38,0.18,112,0.05,561.02,549.57,42,70,16,14,75,N
7159,39,50,0,4,31,26,6,120,55.67,40.65,91988.22,0.75,354,0.02,5110.46,2262.88,139,215,53,31,165,N
7160,0,1,0,0,1,1,1,5,28.98,1.75,88.76,0.02,16,0.57,4.93,50.72,7,9,6,3,7,N
7161,0,1,0,0,1,1,1,2,9.47,2.67,67.38,0.01,9,0.38,3.74,25.27,4,5,3,4,4,N
7162,0,1,0,0,1,1,1,4,32.68,2.75,247.11,0.03,23,0.36,13.73,89.86,11,12,10,5,6,N
7163,0,1,0,0,1,1,1,5,21.76,3.5,266.51,0.03,20,0.29,14.81,76.15,7,13,7,7,7,N
7164,0,1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,11.61,2,3,2,3,4,N
7165,6,7,0,1,4,2,3,13,29.86,7.46,1663.83,0.07,48,0.13,92.43,222.91,19,29,14,11,22,Y
7166,0,5,0,0,3,3,1,12,29.83,6.58,1290.49,0.07,44,0.15,71.69,196.21,19,25,13,9,14,N
7167,5,5,0,0,3,1,1,18,15.21,23.18,8172.36,0.12,75,0.04,454.02,352.53,34,41,11,15,25,N
7168,0,3,0,0,2,2,1,4,18.13,4.29,333.04,0.03,21,0.23,18.5,77.71,10,11,7,6,6,N
7169,3,3,0,0,2,2,1,11,26.59,11.67,3619.34,0.1,66,0.09,201.07,310.23,20,46,12,14,16,N
7170,4,5,0,0,4,4,1,18,28.09,6,1011.33,0.06,39,0.17,56.19,168.56,12,27,10,10,24,N
7171,1,7,0,0,4,4,4,7,23.41,8,1498.37,0.06,42,0.13,83.24,187.3,16,26,11,11,10,N
7172,0,1,0,0,1,1,1,4,16.98,2.8,133.14,0.02,15,0.36,7.4,47.55,7,8,5,4,6,N
7173,2,11,0,0,6,3,5,22,24.72,11.2,3101.34,0.09,57,0.09,172.3,276.9,24,33,15,14,26,N
7174,3,1,0,0,1,1,1,5,19.75,5.14,522.4,0.03,26,0.19,29.02,101.58,9,17,7,8,10,N
7175,2,9,0,0,5,3,4,18,23.08,10,2307.53,0.08,48,0.1,128.19,230.75,20,28,14,14,22,N
7176,2,11,0,0,6,3,5,22,24.72,11.2,3101.34,0.09,57,0.09,172.3,276.9,24,33,15,14,26,N
7177,0,3,0,0,2,1,1,9,12.55,4.5,254.13,0.02,17,0.22,14.12,56.47,6,11,4,6,11,N
7178,6,11,1,5,6,5,3,19,24.04,14.29,4906.89,0.11,70,0.07,272.61,343.48,25,45,14,16,33,N
7179,5,3,0,6,2,1,1,16,24.41,10.83,2864.38,0.09,55,0.09,159.13,264.4,25,30,15,13,30,N
7180,5,67,1,7,34,24,33,72,55.38,43.09,102811.39,0.8,432,0.02,5711.74,2386.18,147,285,29,17,88,N
7181,22,77,2,21,39,23,32,112,76.76,42.92,141385.82,1.1,514,0.02,7854.77,3294.43,206,308,60,25,159,N
7182,0,73,0,0,37,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,173,N
7183,3,23,0,0,12,5,5,57,63.77,15.83,15986.79,0.34,178,0.06,888.15,1009.69,76,102,36,15,64,N
7184,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,N
7185,3,5,0,0,3,3,1,20,49.82,7.1,2514.31,0.12,69,0.14,139.68,353.92,31,38,24,11,23,N
7186,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7187,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7188,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7189,8,19,0,1,10,9,7,43,37.02,28.97,31062.9,0.36,191,0.03,1725.72,1072.41,84,107,29,20,54,N
7190,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7191,1,3,0,0,2,2,1,4,20,7.22,1043.09,0.05,34,0.14,57.95,144.43,13,21,9,10,7,N
7192,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7193,1,5,0,0,3,1,3,8,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,15,21,9,10,11,N
7194,0,1,0,0,1,1,1,3,13.88,4,222.03,0.02,15,0.25,12.33,55.51,5,10,5,8,5,N
7195,0,1,0,0,1,1,1,3,13.88,4,222.03,0.02,15,0.25,12.33,55.51,5,10,5,8,5,N
7196,2,9,0,0,5,4,4,21,41.45,11.26,5254.23,0.16,86,0.09,291.9,466.66,38,48,27,16,25,N
7197,3,9,0,0,5,4,4,22,41.45,11.26,5254.23,0.16,86,0.09,291.9,466.66,38,48,27,16,27,N
7198,44,45,1,0,23,21,1,439,142.35,114.75,1874505.53,5.45,2443,0.01,104139.2,16335.12,845,1598,81,22,486,N
7199,3,5,0,0,3,2,1,10,26.43,6.75,1204.29,0.06,42,0.15,66.9,178.41,15,27,10,9,15,N
7200,22,87,15,18,44,36,13,303,85.64,138.3,1638152.27,3.95,1709,0.01,91008.46,11844.63,746,963,89,33,362,N
7201,3,25,0,25,13,13,10,74,60.44,27.14,44517.84,0.55,265,0.04,2473.21,1640.3,118,147,50,23,104,Y
7202,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,N
7203,5,131,0,2,66,59,63,129,103.54,44.86,208407.84,1.55,721,0.02,11578.21,4645.36,282,439,66,21,138,N
7204,1,5,0,0,3,3,1,19,32.14,12.44,4977.78,0.13,80,0.08,276.54,400,32,48,18,14,22,N
7205,1,5,0,0,3,3,1,18,38.33,9,3105,0.12,69,0.11,172.5,345,30,39,20,12,21,N
7206,3,7,1,0,4,4,1,30,33.7,15.84,8456.28,0.18,101,0.06,469.79,533.83,41,60,22,17,36,N
7207,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,N
7208,11,79,0,4,40,36,33,96,98.37,27.85,76280.59,0.91,450,0.04,4237.81,2739.36,181,269,52,16,113,N
7209,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,N
7210,5,7,0,5,4,3,3,15,17.17,11,2077.57,0.06,43,0.09,115.42,188.87,20,23,10,11,27,N
7211,6,7,0,5,4,4,1,19,29.53,8.33,2051.04,0.08,53,0.12,113.95,246.12,25,28,15,10,32,N
7212,9,7,0,7,4,4,1,21,35.33,7.94,2227.8,0.09,59,0.13,123.77,280.54,27,32,17,10,39,N
7213,6,7,0,5,4,4,1,19,29.53,8.33,2051.04,0.08,53,0.12,113.95,246.12,25,28,15,10,32,N
7214,6,7,0,5,4,4,1,19,29.53,8.33,2051.04,0.08,53,0.12,113.95,246.12,25,28,15,10,32,N
7215,5,7,0,5,4,3,3,15,17.17,11,2077.57,0.06,43,0.09,115.42,188.87,20,23,10,11,27,N
7216,0,1,0,0,1,1,1,3,16.14,3,145.3,0.02,14,0.33,8.07,48.43,5,9,5,6,5,N
7217,0,9,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,N
7218,7,11,0,9,6,5,4,42,61.34,13.76,11621.51,0.28,152,0.07,645.64,844.3,72,80,34,13,60,N
7219,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,N
7220,7,129,0,5,65,64,63,133,137.89,39.66,216922.91,1.82,825,0.03,12051.27,5469.22,334,491,80,19,147,N
7221,3,7,1,1,4,4,1,35,36.91,20.06,14844.27,0.25,134,0.05,824.68,740.16,57,77,27,19,42,N
7222,6,9,1,1,5,4,1,67,53.12,27.97,41561.39,0.5,257,0.04,2308.97,1485.81,106,151,36,19,78,N
7223,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,N
7224,4,5,0,0,3,3,1,18,51.57,7.92,3234.72,0.14,79,0.13,179.71,408.42,36,43,25,11,24,N
7225,7,9,0,3,5,3,1,32,44.49,12.74,7220.73,0.19,108,0.08,401.15,566.78,49,59,25,13,44,N
7226,10,47,0,6,24,9,23,71,63.74,25.23,40565.45,0.54,268,0.04,2253.64,1608,111,157,44,20,89,N
7227,4,89,3,5,45,22,44,93,64.17,51.57,170667.98,1.1,558,0.02,9481.55,3309.35,228,330,42,19,107,N
7228,6,7,0,5,4,4,1,19,27.61,9.75,2624.82,0.09,56,0.1,145.82,269.21,26,30,16,12,32,N
7229,6,9,0,4,5,5,5,25,70.03,10.63,7911,0.25,134,0.09,439.5,744.31,62,72,35,12,37,N
7230,9,29,0,8,15,10,11,53,48.35,25.1,30468.04,0.4,221,0.04,1692.67,1213.7,91,130,29,16,74,N
7231,4,5,0,1,3,1,1,22,26.25,12.27,3950.15,0.11,65,0.08,219.45,322.02,23,42,15,16,31,N
7232,2,15,0,1,8,3,8,15,27.61,15.53,6658.6,0.14,85,0.06,369.92,428.77,33,52,17,16,22,N
7233,6,13,0,5,7,3,6,31,32.65,21.77,15475.59,0.24,131,0.05,859.76,710.84,55,76,24,19,47,N
7234,2,6,0,0,5,5,1,25,32.61,12.53,5118.2,0.14,81,0.08,284.34,408.6,34,47,19,14,30,N
7235,3,3,0,1,2,1,1,15,20.36,11.08,2500.63,0.08,48,0.09,138.92,225.62,19,29,12,14,22,N
7236,5,59,0,7,30,12,29,40,46.32,36.13,60457.08,0.56,295,0.03,3358.73,1673.37,112,183,31,20,55,N
7237,5,11,0,5,6,2,5,20,25.6,16.89,7302.5,0.14,83,0.06,405.69,432.38,32,51,18,19,34,N
7238,4,7,0,2,4,3,4,26,28.15,16.67,7818.81,0.16,93,0.06,434.38,469.13,40,53,18,15,35,N
7239,5,19,0,5,10,3,9,24,33.42,20.65,14254.47,0.23,128,0.05,791.92,690.22,50,78,23,19,37,N
7240,3,5,0,2,3,3,1,20,34.01,8.53,2473.94,0.1,61,0.12,137.44,290.05,29,32,17,10,28,N
7241,8,17,0,7,9,8,5,45,41.54,19.83,16341.17,0.27,157,0.05,907.84,823.92,68,89,24,14,64,N
7242,4,5,0,2,3,2,1,22,26.42,13.18,4586.24,0.12,69,0.08,254.79,348.06,28,41,17,16,32,N
7243,3,11,0,2,6,3,6,24,26.14,18,8468.34,0.16,91,0.06,470.46,470.46,36,55,18,18,33,N
7244,6,13,0,5,7,3,6,31,32.65,21.77,15475.59,0.24,131,0.05,859.76,710.84,55,76,24,19,47,N
7245,3,9,0,2,5,4,1,27,14.31,24.29,8437.69,0.12,85,0.04,468.76,347.43,34,51,7,10,35,N
7246,8,63,0,12,32,24,32,86,50.04,47.14,111200.32,0.79,408,0.02,6177.8,2358.79,165,243,35,20,110,N
7247,8,73,0,11,37,25,37,84,45.31,53.06,127566.41,0.8,414,0.02,7087.02,2404.24,164,250,34,22,106,N
7248,5,25,0,6,13,9,12,52,37.44,28.26,29896.72,0.35,183,0.04,1660.93,1057.99,73,110,31,24,68,N
7249,2,6,0,0,5,5,1,28,31.91,12.8,5227.83,0.14,79,0.08,290.43,408.42,32,47,20,16,33,N
7250,4,3,0,2,2,2,1,19,38.33,9,3105,0.12,69,0.11,172.5,345,30,39,20,12,28,N
7251,4,3,0,2,2,2,1,23,46.4,10.25,4875.24,0.16,92,0.1,270.85,475.63,41,51,24,12,32,N
7252,4,3,0,2,2,2,1,18,36.02,8.53,2618.94,0.1,62,0.12,145.5,307.16,27,35,19,12,27,N
7253,3,3,0,2,2,2,1,16,34.15,8.33,2371.66,0.09,58,0.12,131.76,284.6,25,33,18,12,24,N
7254,3,89,0,7,45,24,45,65,42.04,51.37,110945.24,0.72,391,0.02,6163.62,2159.71,146,245,27,19,78,N
7255,4,7,0,3,4,2,1,25,32.43,10.95,3886.32,0.12,71,0.09,215.91,355,32,39,19,13,35,N
7256,4,7,0,3,4,2,1,25,32.43,10.95,3886.32,0.12,71,0.09,215.91,355,32,39,19,13,35,N
7257,5,35,0,6,18,7,17,34,43.69,27,31848.28,0.39,209,0.04,1769.35,1179.57,81,128,30,20,48,N
7258,3,9,0,1,5,5,1,32,41.27,14.53,8707.91,0.2,121,0.07,483.77,599.46,46,75,19,12,40,N
7259,4,5,0,2,3,3,1,24,31.55,13.6,5835.81,0.14,83,0.07,324.21,429.1,34,49,20,16,34,N
7260,5,7,0,3,4,4,1,33,39.63,15.68,9744.74,0.21,116,0.06,541.37,621.48,49,67,25,16,45,N
7261,5,29,4,3,15,14,15,34,36.12,24.94,22462.7,0.3,166,0.04,1247.93,900.76,63,103,24,19,50,N
7262,5,7,0,3,4,4,1,33,39.85,16,10200.78,0.21,119,0.06,566.71,637.55,50,69,25,16,45,N
